City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,nuuk,64.1835,-51.7216,-1.66,74,100,2.06,GL,1730068989
326,saint-pierre,-21.3393,55.4781,23.82,73,0,1.54,RE,1730068757
327,viedma,-40.8135,-62.9967,19.2,38,92,4.03,AR,1730068992
328,ust-nera,64.5667,143.2,-21.32,99,90,1.54,RU,1730068993
329,puerto escondido,15.85,-97.0667,31.46,74,20,3.09,MX,1730068782
330,kolaras,25.2333,77.6,20.5,53,8,1.79,IN,1730068995
331,karasburg,-28.0167,18.75,5.2,75,15,6.04,NA,1730068996
332,kargil,34.5667,76.1,3.63,35,96,3.43,IN,1730068997
333,kalengwa,-13.4659,25.0027,16.98,90,91,2.38,ZM,1730068998
334,watford city,47.8022,-103.2832,21.92,23,100,4.12,US,1730068741
335,jijiga,9.35,42.8,18.89,55,91,2.82,ET,1730069001
336,port lincoln,-34.7333,135.8667,15.78,65,87,5.02,AU,1730069002
337,luderitz,-26.6481,15.1594,13.63,67,48,4.97,NA,1730069003
338,sechura,-5.5569,-80.8222,20.97,69,23,7.35,PE,1730069004
339,saipan,15.1355,145.701,27.39,94,75,4.12,MP,1730069005
340,yambio,4.5721,28.3955,20.3,97,34,0.92,SS,1730069006
341,grove,51.6095,-1.4219,11.05,88,75,2.06,GB,1730069007
342,nova vicosa,-17.8919,-39.3719,25.3,78,77,3.03,BR,1730069009
343,diego de almagro,-26.3667,-70.05,22.85,20,0,2.11,CL,1730069010
344,kroya,-7.6331,109.2461,26.54,79,68,2.3,ID,1730068753
345,angaur state,6.906,134.13,28.1,80,100,7.81,PW,1730069012
346,culiacan,24.7994,-107.3897,35.82,44,0,3.09,MX,1730068545
347,narrabri,-30.3167,149.7833,25.29,47,0,2.24,AU,1730069014
348,ola,59.5833,151.2833,-9.12,54,64,5.62,RU,1730069015
349,torghay,49.6339,63.4981,3.47,94,99,5.32,KZ,1730069016
350,nema,57.5067,50.5011,2.3,96,100,0.47,RU,1730069018
351,viborg,56.4532,9.402,7.0,84,78,4.53,DK,1730069019
352,polyarnyy,69.1989,33.4478,5.24,88,100,10.49,RU,1730069020
353,"laikit, laikit ii (dimembe)",1.4792,124.9735,25.47,83,20,0.51,ID,1730069021
354,az zubayr,30.3945,47.7011,20.92,18,0,4.65,IQ,1730069022
355,arraias,-12.9288,-46.9437,24.43,69,74,1.21,BR,1730069023
356,puerto cabezas,14.0351,-83.3888,26.98,94,40,2.06,NI,1730069024
357,jinghong,21.991,100.7341,18.3,99,15,1.13,CN,1730069026
358,basco,20.4487,121.9702,28.04,77,87,7.26,PH,1730069027
359,kitgum,3.2783,32.8867,19.96,92,69,1.0,UG,1730069028
360,susuman,62.7833,148.1667,-17.25,94,100,1.21,RU,1730069029
361,ma'rib,15.4591,45.3253,23.96,38,3,1.52,YE,1730069030
